,carat,cut,cut_ord,color,clarity,clarity_ord,Price,RECAP Price,,,,
2537,2.15,Ideal,5,G,SI2,2,"14,517.45",14517.45,,,,
1053,2.14,Ideal,5,I,SI2,2,"14,433.32",14433.32,,,,
2649,2.14,Ideal,5,H,SI2,2,"14,433.32",14433.32,,,,
1021,2.14,Premium,4,D,SI2,2,"14,275.22",14275.22,,,,
1719,2.13,Ideal,5,I,SI2,2,"14,349.19",14349.19,,,,
46,2.13,Very Good,3,G,SI2,2,"14,032.99",14032.99,,,,
1968,2.12,Very Good,3,H,SI2,2,"13,948.86",13948.86,,,,
1629,2.11,Ideal,5,D,SI2,2,"14,180.93",14180.93,,,,
127,2.1,Premium,4,H,SI2,2,"13,938.70",13938.7,,,,
1685,2.09,Very Good,3,F,SI2,2,"13,696.47",13696.47,,,,
1473,2.07,Premium,4,J,VS2,5,"15,048.31",15048.31,,,,
2102,2.07,Premium,4,H,SI1,3,"14,140.31",14140.31,,,,
190,2.07,Very Good,3,I,SI1,3,"13,982.21",13982.21,,,,
1310,2.07,Very Good,3,J,VS2,5,"14,890.21",14890.21,,,,
1706,2.07,Very Good,3,H,SI2,2,"13,528.21",13528.21,,,,
2356,2.06,Ideal,5,I,VS2,5,"15,122.28",15122.28,,,,
1390,2.06,Very Good,3,J,SI1,3,"13,898.08",13898.08,,,,
355,2.05,Ideal,5,H,SI2,2,"13,676.15",13676.15,,,,
1205,2.05,Ideal,5,G,SI2,2,"13,676.15",13676.15,,,,
17,2.05,Premium,4,G,SI1,3,"13,972.05",13972.05,,,,
1009,2.05,Premium,4,H,VS2,5,"14,880.05",14880.05,,,,
1128,2.05,Premium,4,E,SI2,2,"13,518.05",13518.05,,,,
2527,2.05,Premium,4,I,SI2,2,"13,518.05",13518.05,,,,
2625,2.05,Premium,4,E,SI2,2,"13,518.05",13518.05,,,,
55,2.05,Good,2,G,SI2,2,"13,201.85",13201.85,,,,
402,2.04,Premium,4,F,SI2,2,"13,433.92",13433.92,,,,
2461,2.04,Premium,4,H,SI1,3,"13,887.92",13887.92,,,,
10,2.03,Ideal,5,F,SI2,2,"13,507.89",13507.89,,,,
82,2.03,Ideal,5,G,SI2,2,"13,507.89",13507.89,,,,
568,2.03,Ideal,5,H,SI2,2,"13,507.89",13507.89,,,,
631,2.03,Ideal,5,I,VS2,5,"14,869.89",14869.89,,,,
1207,2.03,Ideal,5,J,VS2,5,"14,869.89",14869.89,,,,
2968,2.03,Ideal,5,I,SI2,2,"13,507.89",13507.89,,,,
790,2.03,Premium,4,D,SI2,2,"13,349.79",13349.79,,,,
2593,2.03,Premium,4,J,VS1,4,"14,257.79",14257.79,,,,
282,2.03,Very Good,3,I,VS2,5,"14,553.69",14553.69,,,,
521,2.03,Very Good,3,I,VS2,5,"14,553.69",14553.69,,,,
473,2.02,Ideal,5,F,SI2,2,"13,423.76",13423.76,,,,
1452,2.02,Ideal,5,J,VS2,5,"14,785.76",14785.76,,,,
870,2.02,Premium,4,I,SI2,2,"13,265.66",13265.66,,,,
2108,2.02,Premium,4,F,SI2,2,"13,265.66",13265.66,,,,
941,2.02,Very Good,3,H,SI2,2,"13,107.56",13107.56,,,,
1476,2.02,Very Good,3,G,SI2,2,"13,107.56",13107.56,,,,
622,2.01,Ideal,5,H,SI2,2,"13,339.63",13339.63,,,,
1522,2.01,Ideal,5,G,SI1,3,"13,793.63",13793.63,,,,
2477,2.01,Ideal,5,H,SI1,3,"13,793.63",13793.63,,,,
2487,2.01,Ideal,5,D,SI2,2,"13,339.63",13339.63,,,,
2499,2.01,Ideal,5,G,SI1,3,"13,793.63",13793.63,,,,
48,2.01,Premium,4,H,SI1,3,"13,635.53",13635.53,,,,
388,2.01,Premium,4,G,SI2,2,"13,181.53",13181.53,,,,
636,2.01,Premium,4,I,SI2,2,"13,181.53",13181.53,,,,
871,2.01,Premium,4,H,SI2,2,"13,181.53",13181.53,,,,
1225,2.01,Premium,4,E,SI1,3,"13,635.53",13635.53,,,,
1649,2.01,Premium,4,I,SI2,2,"13,181.53",13181.53,,,,
2302,2.01,Premium,4,J,SI2,2,"13,181.53",13181.53,,,,
2384,2.01,Premium,4,J,SI2,2,"13,181.53",13181.53,,,,
164,2.01,Very Good,3,H,SI2,2,"13,023.43",13023.43,,,,
237,2.01,Very Good,3,J,SI2,2,"13,023.43",13023.43,,,,
1511,2.01,Very Good,3,I,VVS2,6,"14,839.43",14839.43,,,,
2200,2.01,Very Good,3,H,I1,1,"12,569.43",12569.43,,,,
2526,2.01,Very Good,3,H,SI1,3,"13,477.43",13477.43,,,,
2655,2.01,Very Good,3,I,SI1,3,"13,477.43",13477.43,,,,
2923,2.01,Very Good,3,I,VS2,5,"14,385.43",14385.43,,,,
1469,2.01,Good,2,F,SI2,2,"12,865.33",12865.33,,,,
1888,2.01,Good,2,I,SI1,3,"13,319.33",13319.33,,,,
1969,2.01,Good,2,I,SI2,2,"12,865.33",12865.33,,,,8413
1989,2.01,Good,2,G,SI2,2,"12,865.33",12865.33,,,,
661,2.01,Fair,1,H,VS2,5,"14,069.23",14069.23,,,,
2336,2.01,Fair,1,E,SI2,2,"12,707.23",12707.23,,,10094.8,
2581,2.01,Fair,1,H,SI2,2,"12,707.23",12707.23,,,,
597,2,Ideal,5,G,SI2,2,"13,255.50",13255.5,,,,
20,2,Premium,4,J,SI2,2,"13,097.40",13097.4,,,,
745,2,Premium,4,D,SI2,2,"13,097.40",13097.4,,,,
1026,2,Premium,4,J,VS2,5,"14,459.40",14459.4,,,,
1388,2,Premium,4,G,SI1,3,"13,551.40",13551.4,,,,
1703,2,Premium,4,J,I1,1,"12,643.40",12643.4,,,,
2650,2,Premium,4,J,VS1,4,"14,005.40",14005.4,,,,
1700,2,Very Good,3,G,SI2,2,"12,939.30",12939.3,,,,
2090,2,Very Good,3,J,SI1,3,"13,393.30",13393.3,,,,
2861,2,Very Good,3,I,VS2,5,"14,301.30",14301.3,,,,
2894,2,Very Good,3,E,SI2,2,"12,939.30",12939.3,,,,
2506,2,Good,2,G,SI1,3,"13,235.20",13235.2,,,,
1793,2,Fair,1,H,SI2,2,"12,623.10",12623.1,,,,
919,1.95,Very Good,3,H,VS2,5,"13,880.65",13880.65,,,,
2427,1.91,Ideal,5,G,SI2,2,"12,498.33",12498.33,,,,
198,1.91,Very Good,3,F,SI1,3,"12,636.13",12636.13,,,,
2931,1.86,Very Good,3,H,SI2,2,"11,761.48",11761.48,,,,
517,1.82,Very Good,3,G,SI1,3,"11,878.96",11878.96,,,,
1184,1.81,Very Good,3,I,VS1,4,"12,248.83",12248.83,,,,
612,1.8,Ideal,5,D,SI2,2,"11,572.90",11572.9,,,,
2182,1.79,Premium,4,I,VS1,4,"12,238.67",12238.67,,,,
2846,1.79,Premium,4,G,VS2,5,"12,692.67",12692.67,,,,
25,1.79,Very Good,3,I,VS2,5,"12,534.57",12534.57,,,,
372,1.77,Ideal,5,D,SI2,2,"11,320.51",11320.51,,,,
2122,1.76,Ideal,5,I,VS1,4,"12,144.38",12144.38,,,,
1904,1.75,Ideal,5,I,SI1,3,"11,606.25",11606.25,,,,
2776,1.75,Ideal,5,J,VS2,5,"12,514.25",12514.25,,,,
983,1.75,Good,2,D,SI1,3,"11,131.95",11131.95,,,,
167,1.74,Ideal,5,J,VS1,4,"11,976.12",11976.12,,,,
1348,1.74,Ideal,5,J,SI1,3,"11,522.12",11522.12,,,,
1536,1.74,Ideal,5,F,SI1,3,"11,522.12",11522.12,,,,
427,1.73,Premium,4,F,SI2,2,"10,825.89",10825.89,,,,
2018,1.73,Premium,4,H,SI1,3,"11,279.89",11279.89,,,,
2281,1.73,Premium,4,H,SI2,2,"10,825.89",10825.89,,,,
2397,1.73,Good,2,E,I1,1,"10,055.69",10055.69,,,,
2556,1.72,Premium,4,F,I1,1,"10,287.76",10287.76,,,,
2668,1.72,Premium,4,H,SI1,3,"11,195.76",11195.76,,,,
679,1.71,Ideal,5,G,VS1,4,"11,723.73",11723.73,,,,
2536,1.71,Ideal,5,G,SI1,3,"11,269.73",11269.73,,,,
1485,1.71,Premium,4,I,VS2,5,"12,019.63",12019.63,,,,
2001,1.71,Premium,4,G,SI1,3,"11,111.63",11111.63,,,,
2834,1.71,Premium,4,H,SI1,3,"11,111.63",11111.63,,,,
1574,1.71,Very Good,3,F,SI1,3,"10,953.53",10953.53,,,,
42,1.7,Ideal,5,D,SI1,3,"11,185.60",11185.6,,,,
1411,1.7,Ideal,5,D,SI2,2,"10,731.60",10731.6,,,,
2262,1.7,Ideal,5,F,VS2,5,"12,093.60",12093.6,,,,
486,1.7,Premium,4,F,VS2,5,"11,935.50",11935.5,,,,
1360,1.7,Premium,4,G,VS2,5,"11,935.50",11935.5,,,,
1683,1.7,Premium,4,I,VS2,5,"11,935.50",11935.5,,,,
2192,1.7,Very Good,3,H,SI2,2,"10,415.40",10415.4,,,,
1405,1.69,Premium,4,J,I1,1,"10,035.37",10035.37,,,,
2895,1.68,Ideal,5,I,VS2,5,"11,925.34",11925.34,,,,
1791,1.68,Good,2,E,I1,1,"9,635.04",9635.04,,,,
821,1.67,Ideal,5,D,SI1,3,"10,933.21",10933.21,,,,
2856,1.67,Ideal,5,F,VS2,5,"11,841.21",11841.21,,,,
2913,1.66,Ideal,5,J,SI2,2,"10,395.08",10395.08,,,,
2346,1.66,Premium,4,J,VVS2,6,"12,052.98",12052.98,,,,
1807,1.66,Good,2,J,VS2,5,"11,282.78",11282.78,,,,
1011,1.65,Ideal,5,G,VS2,5,"11,672.95",11672.95,,,,
1881,1.65,Ideal,5,G,VS1,4,"11,218.95",11218.95,,,,
1005,1.65,Fair,1,J,SI1,3,"10,132.55",10132.55,,,,
1992,1.64,Ideal,5,G,VVS2,6,"12,042.82",12042.82,,,,
1172,1.64,Premium,4,G,VS2,5,"11,430.72",11430.72,,,,
2505,1.63,Ideal,5,F,I1,1,"9,688.69",9688.69,,,,
423,1.63,Premium,4,I,VS1,4,"10,892.59",10892.59,,,,
972,1.62,Ideal,5,I,VS2,5,"11,420.56",11420.56,,,,
2416,1.62,Ideal,5,G,VS2,5,"11,420.56",11420.56,,,,
717,1.62,Premium,4,G,VS2,5,"11,262.46",11262.46,,,,
973,1.62,Premium,4,F,SI2,2,"9,900.46",9900.46,,,,
2782,1.62,Very Good,3,I,VS2,5,"11,104.36",11104.36,,,,
786,1.61,Ideal,5,G,VS2,5,"11,336.43",11336.43,,,,
2064,1.61,Ideal,5,G,VS1,4,"10,882.43",10882.43,,,,
1952,1.61,Premium,4,H,SI1,3,"10,270.33",10270.33,,,,
2160,1.61,Premium,4,J,SI2,2,"9,816.33",9816.33,,,,
2168,1.61,Premium,4,I,SI1,3,"10,270.33",10270.33,,,,
1328,1.61,Very Good,3,E,SI2,2,"9,658.23",9658.23,,,,
1387,1.6,Ideal,5,I,SI2,2,"9,890.30",9890.3,,,,
1521,1.6,Ideal,5,G,SI1,3,"10,344.30",10344.3,,,,
2325,1.6,Ideal,5,J,VS2,5,"11,252.30",11252.3,,,,
1376,1.6,Premium,4,J,SI1,3,"10,186.20",10186.2,,,,
1417,1.6,Premium,4,G,VS2,5,"11,094.20",11094.2,,,,
1491,1.6,Premium,4,F,SI1,3,"10,186.20",10186.2,,,,
898,1.59,Ideal,5,G,VVS2,6,"11,622.17",11622.17,,,,
2203,1.59,Ideal,5,H,VS2,5,"11,168.17",11168.17,,,,
311,1.59,Premium,4,I,VS2,5,"11,010.07",11010.07,,,,
995,1.59,Premium,4,H,SI2,2,"9,648.07",9648.07,,,,
1516,1.59,Premium,4,G,SI1,3,"10,102.07",10102.07,,,,
54,1.58,Ideal,5,G,VS1,4,"10,630.04",10630.04,,,,
422,1.58,Ideal,5,I,SI1,3,"10,176.04",10176.04,,,,
91,1.58,Premium,4,D,SI1,3,"10,017.94",10017.94,,,,
1437,1.58,Premium,4,F,SI2,2,"9,563.94",9563.94,,,,
528,1.57,Ideal,5,H,I1,1,"9,183.91",9183.91,,,,
2803,1.57,Ideal,5,F,SI1,3,"10,091.91",10091.91,,,,
21,1.57,Premium,4,G,SI2,2,"9,479.81",9479.81,,,,
1029,1.57,Premium,4,G,SI1,3,"9,933.81",9933.81,,,,
1189,1.57,Premium,4,G,VS2,5,"10,841.81",10841.81,,,,
1592,1.57,Very Good,3,J,VS2,5,"10,683.71",10683.71,,,,
1655,1.57,Very Good,3,H,VS2,5,"10,683.71",10683.71,,,,
93,1.56,Ideal,5,G,VVS2,6,"11,369.78",11369.78,,,,
2512,1.56,Ideal,5,F,VS1,4,"10,461.78",10461.78,,,,
1424,1.56,Premium,4,H,VS1,4,"10,303.68",10303.68,,,,
2096,1.56,Very Good,3,H,SI2,2,"9,237.58",9237.58,,,,
2347,1.56,Very Good,3,I,SI1,3,"9,691.58",9691.58,,,,
743,1.55,Ideal,5,G,SI2,2,"9,469.65",9469.65,,,,
1596,1.55,Ideal,5,J,VS2,5,"10,831.65",10831.65,,,,
2552,1.55,Ideal,5,I,VS2,5,"10,831.65",10831.65,,,,
1047,1.55,Premium,4,I,VS2,5,"10,673.55",10673.55,,,,
1259,1.55,Premium,4,G,SI1,3,"9,765.55",9765.55,,,,
2652,1.55,Premium,4,D,SI2,2,"9,311.55",9311.55,,,,
1363,1.55,Very Good,3,D,SI2,2,"9,153.45",9153.45,,,,
916,1.55,Good,2,H,VS2,5,"10,357.35",10357.35,,,,
1668,1.55,Good,2,J,VS1,4,"9,903.35",9903.35,,,,
1102,1.54,Ideal,5,G,VVS2,6,"11,201.52",11201.52,,,,
2040,1.54,Ideal,5,G,SI2,2,"9,385.52",9385.52,,,,
2899,1.54,Ideal,5,D,SI2,2,"9,385.52",9385.52,,,,
2983,1.54,Ideal,5,J,VS2,5,"10,747.52",10747.52,,,,
109,1.54,Premium,4,D,VS2,5,"10,589.42",10589.42,,,,
1221,1.54,Premium,4,H,VS2,5,"10,589.42",10589.42,,,,
2378,1.54,Premium,4,I,SI2,2,"9,227.42",9227.42,,,,
2674,1.54,Premium,4,I,SI2,2,"9,227.42",9227.42,,,,
342,1.54,Good,2,E,SI1,3,"9,365.22",9365.22,,,,
384,1.53,Ideal,5,I,VS2,5,"10,663.39",10663.39,,,,
1501,1.53,Ideal,5,F,VS1,4,"10,209.39",10209.39,,,,
158,1.53,Premium,4,H,SI2,2,"9,143.29",9143.29,,,,
347,1.53,Premium,4,D,SI2,2,"9,143.29",9143.29,,,,
2951,1.53,Premium,4,G,VVS1,7,"11,413.29",11413.29,,,,
953,1.53,Very Good,3,F,SI1,3,"9,439.19",9439.19,,,,
2844,1.53,Very Good,3,H,VS1,4,"9,893.19",9893.19,,,,
99,1.52,Ideal,5,E,SI2,2,"9,217.26",9217.26,,,,
624,1.52,Ideal,5,G,SI1,3,"9,671.26",9671.26,,,,
646,1.52,Ideal,5,D,SI2,2,"9,217.26",9217.26,,,,
999,1.52,Ideal,5,H,SI1,3,"9,671.26",9671.26,,,,
1298,1.52,Ideal,5,G,SI1,3,"9,671.26",9671.26,,,,
363,1.52,Premium,4,G,SI1,3,"9,513.16",9513.16,,,,
815,1.52,Premium,4,D,SI2,2,"9,059.16",9059.16,,,,
1311,1.52,Premium,4,F,VS2,5,"10,421.16",10421.16,,,,
1386,1.52,Premium,4,G,VVS2,6,"10,875.16",10875.16,,,,
1781,1.52,Premium,4,H,SI1,3,"9,513.16",9513.16,,,,
2284,1.52,Premium,4,H,SI1,3,"9,513.16",9513.16,,,,
2714,1.52,Premium,4,G,VS1,4,"9,967.16",9967.16,,,,
170,1.52,Very Good,3,G,VS2,5,"10,263.06",10263.06,,,,
1104,1.52,Very Good,3,H,SI1,3,"9,355.06",9355.06,,,,
1532,1.52,Very Good,3,H,VVS2,6,"10,717.06",10717.06,,,,
2069,1.52,Very Good,3,D,SI2,2,"8,901.06",8901.06,,,,
2086,1.52,Very Good,3,F,VS2,5,"10,263.06",10263.06,,,,
2217,1.52,Very Good,3,F,SI2,2,"8,901.06",8901.06,,,,
1210,1.52,Good,2,I,VS2,5,"10,104.96",10104.96,,,,
2228,1.52,Good,2,J,VS2,5,"10,104.96",10104.96,,,,
2597,1.52,Good,2,H,SI1,3,"9,196.96",9196.96,,,,
143,1.51,Ideal,5,H,SI2,2,"9,133.13",9133.13,,,,
1395,1.51,Ideal,5,G,VS1,4,"10,041.13",10041.13,,,,
1609,1.51,Ideal,5,G,VVS2,6,"10,949.13",10949.13,,,,
2431,1.51,Ideal,5,H,SI2,2,"9,133.13",9133.13,,,,
2498,1.51,Ideal,5,G,VVS2,6,"10,949.13",10949.13,,,,
2943,1.51,Ideal,5,I,VS1,4,"10,041.13",10041.13,,,,
222,1.51,Premium,4,D,SI2,2,"8,975.03",8975.03,,,,
308,1.51,Premium,4,H,SI1,3,"9,429.03",9429.03,,,,
754,1.51,Premium,4,G,VS2,5,"10,337.03",10337.03,,,,
920,1.51,Premium,4,G,SI1,3,"9,429.03",9429.03,,,,
977,1.51,Premium,4,J,VS2,5,"10,337.03",10337.03,,,,
1211,1.51,Premium,4,F,VS2,5,"10,337.03",10337.03,,,,
1293,1.51,Premium,4,F,VS2,5,"10,337.03",10337.03,,,,
1318,1.51,Premium,4,E,SI1,3,"9,429.03",9429.03,,,,
1709,1.51,Premium,4,E,SI2,2,"8,975.03",8975.03,,,,
2105,1.51,Premium,4,E,SI1,3,"9,429.03",9429.03,,,,
2511,1.51,Premium,4,H,I1,1,"8,521.03",8521.03,,,,
2525,1.51,Premium,4,F,SI1,3,"9,429.03",9429.03,,,,
2867,1.51,Premium,4,J,VVS2,6,"10,791.03",10791.03,,,,
2969,1.51,Premium,4,F,VS2,5,"10,337.03",10337.03,,,,
2982,1.51,Premium,4,E,SI1,3,"9,429.03",9429.03,,,,
180,1.51,Very Good,3,J,SI2,2,"8,816.93",8816.93,,,,
1095,1.51,Very Good,3,G,VS2,5,"10,178.93",10178.93,,,,
1261,1.51,Very Good,3,G,VS1,4,"9,724.93",9724.93,,,,
1268,1.51,Very Good,3,J,I1,1,"8,362.93",8362.93,,,,
1321,1.51,Very Good,3,I,IF,8,"11,540.93",11540.93,,,,
1483,1.51,Very Good,3,I,SI2,2,"8,816.93",8816.93,,,,
1487,1.51,Very Good,3,F,VVS2,6,"10,632.93",10632.93,,,,
1950,1.51,Very Good,3,J,VS1,4,"9,724.93",9724.93,,,,
2311,1.51,Very Good,3,F,VS1,4,"9,724.93",9724.93,,,,
2561,1.51,Very Good,3,G,VVS2,6,"10,632.93",10632.93,,,,
2566,1.51,Very Good,3,E,VS2,5,"10,178.93",10178.93,,,,
2569,1.51,Very Good,3,J,VVS2,6,"10,632.93",10632.93,,,,
2619,1.51,Very Good,3,H,VS1,4,"9,724.93",9724.93,,,,
2644,1.51,Very Good,3,F,SI1,3,"9,270.93",9270.93,,,,
2754,1.51,Very Good,3,G,VS1,4,"9,724.93",9724.93,,,,
664,1.51,Good,2,D,VS1,4,"9,566.83",9566.83,,,,
1991,1.51,Good,2,I,SI1,3,"9,112.83",9112.83,,,,
2656,1.51,Fair,1,I,VS2,5,"9,862.73",9862.73,,,,
845,1.5,Ideal,5,I,SI1,3,"9,503.00",9503,,,,
2037,1.5,Ideal,5,H,VS1,4,"9,957.00",9957,,,,
2608,1.5,Ideal,5,F,VVS2,6,"10,865.00",10865,,,,
177,1.5,Premium,4,E,VVS2,6,"10,706.90",10706.9,,,,
1153,1.5,Premium,4,G,VVS2,6,"10,706.90",10706.9,,,,
1481,1.5,Premium,4,D,VS2,5,"10,252.90",10252.9,,,,
1563,1.5,Premium,4,H,VS2,5,"10,252.90",10252.9,,,,
1799,1.5,Premium,4,E,SI2,2,"8,890.90",8890.9,,,,
2054,1.5,Premium,4,E,SI1,3,"9,344.90",9344.9,,,,
2279,1.5,Premium,4,I,VS1,4,"9,798.90",9798.9,,,,
2398,1.5,Premium,4,H,SI2,2,"8,890.90",8890.9,,,,
2480,1.5,Premium,4,E,SI1,3,"9,344.90",9344.9,,,,
2481,1.5,Premium,4,J,VVS2,6,"10,706.90",10706.9,,,,
2548,1.5,Premium,4,H,SI2,2,"8,890.90",8890.9,,,,
2550,1.5,Premium,4,I,SI1,3,"9,344.90",9344.9,,,,
2693,1.5,Premium,4,F,VS2,5,"10,252.90",10252.9,,,,
151,1.5,Very Good,3,D,SI2,2,"8,732.80",8732.8,,,,
254,1.5,Very Good,3,G,SI1,3,"9,186.80",9186.8,,,,
1216,1.5,Very Good,3,D,SI1,3,"9,186.80",9186.8,,,,
1329,1.5,Very Good,3,J,VS1,4,"9,640.80",9640.8,,,,
1371,1.5,Very Good,3,D,VS2,5,"10,094.80",10094.8,,,,
1892,1.5,Very Good,3,H,VS1,4,"9,640.80",9640.8,,,,
2118,1.5,Very Good,3,E,SI2,2,"8,732.80",8732.8,,,,
2218,1.5,Very Good,3,J,VVS2,6,"10,548.80",10548.8,,,,
2348,1.5,Very Good,3,J,I1,1,"8,278.80",8278.8,,,,
2492,1.5,Very Good,3,I,SI2,2,"8,732.80",8732.8,,,,
2551,1.5,Very Good,3,D,SI1,3,"9,186.80",9186.8,,,,
2891,1.5,Very Good,3,J,VS2,5,"10,094.80",10094.8,,,,
137,1.5,Good,2,G,SI2,2,"8,574.70",8574.7,,,,
300,1.5,Good,2,D,SI2,2,"8,574.70",8574.7,,,,
853,1.5,Good,2,I,SI2,2,"8,574.70",8574.7,,,,
1379,1.5,Good,2,H,VS2,5,"9,936.70",9936.7,,,,
2036,1.5,Good,2,H,VS1,4,"9,482.70",9482.7,,,,
2475,1.5,Good,2,G,SI2,2,"8,574.70",8574.7,,,,
2476,1.5,Good,2,J,SI1,3,"9,028.70",9028.7,,,,
2841,1.5,Good,2,D,SI2,2,"8,574.70",8574.7,,,,
213,1.5,Fair,1,D,SI1,3,"8,870.60",8870.6,,,,
2531,1.5,Fair,1,H,I1,1,"7,962.60",7962.6,,,,
1335,1.49,Very Good,3,F,I1,1,"8,194.67",8194.67,,,,
844,1.48,Ideal,5,E,SI2,2,"8,880.74",8880.74,,,,
693,1.48,Premium,4,H,SI2,2,"8,722.64",8722.64,,,,
1398,1.48,Good,2,G,IF,8,"11,130.44",11130.44,,,,
2414,1.45,Fair,1,J,SI2,2,"7,995.95",7995.95,,,,
899,1.42,Very Good,3,G,VVS2,6,"9,875.76",9875.76,,,,
1057,1.41,Ideal,5,J,VS1,4,"9,199.83",9199.83,,,,
2635,1.41,Premium,4,G,SI1,3,"8,587.73",8587.73,,,,
562,1.4,Ideal,5,H,SI2,2,"8,207.70",8207.7,,,,
1901,1.4,Ideal,5,J,SI1,3,"8,661.70",8661.7,,,,
147,1.39,Premium,4,E,VS2,5,"9,327.47",9327.47,,,,
881,1.38,Ideal,5,F,SI2,2,"8,039.44",8039.44,,,,
1408,1.38,Premium,4,J,SI1,3,"8,335.34",8335.34,,,,
1018,1.38,Very Good,3,F,VS1,4,"8,631.24",8631.24,,,,
738,1.37,Very Good,3,I,SI2,2,"7,639.11",7639.11,,,,
1601,1.36,Good,2,G,SI1,3,"7,850.88",7850.88,,,,
11,1.35,Premium,4,H,VS2,5,"8,990.95",8990.95,,,,
51,1.35,Premium,4,G,VVS2,6,"9,444.95",9444.95,,,,
1028,1.35,Premium,4,H,VS1,4,"8,536.95",8536.95,,,,
2582,1.35,Premium,4,F,VS2,5,"8,990.95",8990.95,,,,
2433,1.35,Fair,1,J,SI1,3,"7,608.65",7608.65,,,,
267,1.34,Ideal,5,G,VS2,5,"9,064.92",9064.92,,,,
805,1.34,Premium,4,G,SI2,2,"7,544.82",7544.82,,,,
1800,1.34,Very Good,3,H,VS2,5,"8,748.72",8748.72,,,,
103,1.33,Premium,4,E,SI2,2,"7,460.69",7460.69,,,,
179,1.33,Premium,4,H,SI2,2,"7,460.69",7460.69,,,,
2758,1.33,Premium,4,I,SI2,2,"7,460.69",7460.69,,,,
1043,1.33,Very Good,3,H,SI2,2,"7,302.59",7302.59,,,,
1291,1.33,Fair,1,G,SI2,2,"6,986.39",6986.39,,,,
653,1.32,Premium,4,I,SI2,2,"7,376.56",7376.56,,,,
2007,1.32,Very Good,3,G,SI2,2,"7,218.46",7218.46,,,,
2538,1.31,Ideal,5,F,SI1,3,"7,904.53",7904.53,,,,
1561,1.31,Premium,4,D,VVS1,7,"9,562.43",9562.43,,,,
1814,1.31,Premium,4,I,SI2,2,"7,292.43",7292.43,,,,
2082,1.31,Premium,4,J,SI1,3,"7,746.43",7746.43,,,,
2941,1.31,Premium,4,F,SI1,3,"7,746.43",7746.43,,,,
2992,1.31,Premium,4,H,SI2,2,"7,292.43",7292.43,,,,
